Entity,Code,Year,Buddhists,Hindus,Muslims,Jews,Christians,No religion,Other religions
Afghanistan,AFG,2010,< 10000,< 10000,28210000,< 10000,30000,< 10000,30000
Afghanistan,AFG,2020,< 10000,< 10000,39020000,< 10000,< 10000,< 10000,40000
Africa,OWID_AFR,2010,8,134,48085,9,53658,2712,2615
Africa,OWID_AFR,2020,10,147,61814,6,70314,3007,2784
Albania,ALB,2010,< 10000,< 10000,2050000,< 10000,590000,280000,< 10000
Albania,ALB,2020,< 10000,< 10000,2140000,< 10000,510000,220000,< 10000
Algeria,DZA,2010,< 10000,< 10000,35670000,< 10000,110000,390000,10000
Algeria,DZA,2020,< 10000,< 10000,43330000,< 10000,130000,560000,20000
Angola,AGO,2010,< 10000,< 10000,40000,< 10000,21330000,1040000,880000
Angola,AGO,2020,< 10000,< 10000,90000,< 10000,31120000,2050000,190000
Argentina,ARG,2010,10000,< 10000,410000,180000,36360000,4020000,300000
Argentina,ARG,2020,10000,< 10000,420000,170000,39970000,4170000,440000
Armenia,ARM,2010,< 10000,< 10000,< 10000,< 10000,2860000,40000,40000
Armenia,ARM,2020,< 10000,< 10000,< 10000,< 10000,2810000,30000,40000
Aruba,ABW,2010,< 10000,< 10000,< 10000,< 10000,80000,< 10000,10000
Aruba,ABW,2020,< 10000,< 10000,< 10000,< 10000,90000,< 10000,10000
Asia,OWID_ASI,2010,33567,104488,115052,583,23597,135635,10948
Asia,OWID_ASI,2020,31543,116880,135131,686,25190,148004,11248
Asia-Pacific (Pew),PEW_APA,2010,336320000,1043560000,1022290000,180000,253420000,1363120000,109360000
Asia-Pacific (Pew),PEW_APA,2020,316110000,1166710000,1187660000,190000,268840000,1492750000,112540000
Australia,AUS,2010,600000,320000,550000,110000,14860000,5500000,190000
Australia,AUS,2020,670000,760000,900000,110000,12040000,10900000,360000
Austria,AUT,2010,20000,< 10000,450000,10000,6730000,1130000,20000
Austria,AUT,2020,30000,10000,740000,< 10000,6080000,2000000,60000
Azerbaijan,AZE,2010,< 10000,< 10000,8880000,10000,150000,100000,< 10000
Azerbaijan,AZE,2020,< 10000,< 10000,9640000,< 10000,40000,480000,< 10000
Bahamas,BHS,2010,< 10000,< 10000,< 10000,< 10000,360000,< 10000,< 10000
Bahamas,BHS,2020,< 10000,< 10000,< 10000,< 10000,390000,< 10000,< 10000
Bahrain,BHR,2010,< 10000,160000,850000,< 10000,190000,< 10000,< 10000
Bahrain,BHR,2020,< 10000,170000,1100000,< 10000,200000,< 10000,< 10000
Bangladesh,BGD,2010,950000,13030000,137550000,< 10000,460000,< 10000,210000
Bangladesh,BGD,2020,1010000,13140000,151440000,< 10000,500000,< 10000,200000
Barbados,BRB,2010,< 10000,< 10000,< 10000,< 10000,210000,60000,< 10000
Barbados,BRB,2020,< 10000,< 10000,< 10000,< 10000,220000,60000,< 10000
Belarus,BLR,2010,< 10000,< 10000,20000,10000,8910000,470000,70000
Belarus,BLR,2020,< 10000,< 10000,20000,< 10000,7960000,1290000,70000
Belgium,BEL,2010,20000,10000,560000,30000,6680000,3500000,130000
Belgium,BEL,2020,20000,30000,790000,30000,5880000,4500000,300000
Belize,BLZ,2010,< 10000,< 10000,< 10000,< 10000,240000,50000,30000
Belize,BLZ,2020,< 10000,< 10000,< 10000,< 10000,290000,60000,40000
Benin,BEN,2010,< 10000,< 10000,2300000,< 10000,5710000,430000,1350000
Benin,BEN,2020,< 10000,< 10000,4100000,< 10000,6960000,640000,1370000
Bhutan,BTN,2010,520000,160000,< 10000,< 10000,< 10000,< 10000,10000
Bhutan,BTN,2020,580000,170000,< 10000,< 10000,< 10000,< 10000,10000
Bolivia,BOL,2010,< 10000,< 10000,< 10000,< 10000,9750000,410000,20000
Bolivia,BOL,2020,< 10000,< 10000,< 10000,< 10000,10510000,1130000,180000
Bosnia and Herzegovina,BIH,2010,< 10000,< 10000,1950000,< 10000,1770000,40000,40000
Bosnia and Herzegovina,BIH,2020,< 10000,< 10000,1770000,< 10000,1470000,30000,20000
Botswana,BWA,2010,< 10000,< 10000,10000,< 10000,1640000,300000,80000
Botswana,BWA,2020,< 10000,< 10000,< 10000,< 10000,1950000,350000,50000
Brazil,BRA,2010,250000,< 10000,40000,110000,172700000,15720000,4890000
Brazil,BRA,2020,220000,< 10000,40000,90000,168300000,28110000,11910000
Brunei,BRN,2010,30000,< 10000,310000,< 10000,30000,< 10000,10000
Brunei,BRN,2020,30000,< 10000,370000,< 10000,30000,< 10000,20000
Bulgaria,BGR,2010,< 10000,< 10000,740000,< 10000,6050000,630000,10000
Bulgaria,BGR,2020,< 10000,< 10000,710000,< 10000,5510000,700000,< 10000
Burkina Faso,BFA,2010,< 10000,< 10000,10410000,< 10000,4300000,100000,1370000
Burkina Faso,BFA,2020,< 10000,< 10000,14480000,< 10000,6010000,120000,860000
Burundi,BDI,2010,< 10000,< 10000,190000,< 10000,8950000,170000,60000
Burundi,BDI,2020,< 10000,< 10000,380000,< 10000,11980000,160000,100000
Cambodia,KHM,2010,14060000,< 10000,280000,< 10000,50000,10000,100000
Cambodia,KHM,2020,16240000,< 10000,340000,< 10000,50000,10000,80000
Cameroon,CMR,2010,< 10000,< 10000,4190000,< 10000,14100000,600000,770000
Cameroon,CMR,2020,< 10000,< 10000,6590000,< 10000,18300000,550000,760000
Canada,CAN,2010,380000,540000,1110000,340000,23000000,8160000,670000
Canada,CAN,2020,660000,580000,1870000,350000,20350000,13220000,1140000
Cape Verde,CPV,2010,< 10000,< 10000,< 10000,< 10000,440000,70000,< 10000
Cape Verde,CPV,2020,< 10000,< 10000,< 10000,< 10000,400000,110000,< 10000
Central African Republic,CAF,2010,< 10000,< 10000,380000,< 10000,4030000,40000,40000
Central African Republic,CAF,2020,< 10000,< 10000,310000,< 10000,4560000,20000,130000
Chad,TCD,2010,< 10000,< 10000,7050000,< 10000,4870000,330000,60000
Chad,TCD,2020,< 10000,< 10000,9710000,< 10000,6700000,540000,270000
Channel Islands,OWID_CIS,2010,< 10000,< 10000,< 10000,< 10000,140000,20000,< 10000
Channel Islands,OWID_CIS,2020,< 10000,< 10000,< 10000,< 10000,140000,20000,< 10000
Chile,CHL,2010,< 10000,< 10000,< 10000,30000,14780000,2330000,30000
Chile,CHL,2020,< 10000,< 10000,10000,20000,13240000,5860000,240000
China,CHN,2010,76100000,20000,20730000,< 10000,31200000,1181560000,41950000
China,CHN,2020,53380000,30000,25980000,< 10000,25450000,1278120000,43140000
Colombia,COL,2010,< 10000,< 10000,< 10000,< 10000,41380000,3240000,140000
Colombia,COL,2020,< 10000,< 10000,< 10000,< 10000,43670000,5030000,1920000
Comoros,COM,2010,< 10000,< 10000,650000,< 10000,< 10000,< 10000,< 10000
Comoros,COM,2020,< 10000,< 10000,790000,< 10000,< 10000,< 10000,< 10000
Congo,COG,2010,< 10000,< 10000,70000,< 10000,4100000,250000,50000
Congo,COG,2020,< 10000,< 10000,80000,< 10000,5310000,300000,60000
Costa Rica,CRI,2010,< 10000,< 10000,< 10000,< 10000,4160000,340000,50000
Costa Rica,CRI,2020,< 10000,< 10000,< 10000,< 10000,4420000,510000,100000
Cote d'Ivoire,CIV,2010,< 10000,< 10000,9830000,< 10000,9170000,2250000,1230000
Cote d'Ivoire,CIV,2020,< 10000,< 10000,13390000,< 10000,12990000,1610000,930000
Croatia,HRV,2010,< 10000,< 10000,70000,< 10000,4030000,200000,< 10000
Croatia,HRV,2020,< 10000,< 10000,50000,< 10000,3590000,260000,40000
Cuba,CUB,2010,< 10000,20000,< 10000,< 10000,6640000,2660000,1960000
Cuba,CUB,2020,< 10000,20000,< 10000,< 10000,6780000,2410000,1940000
Curacao,CUW,2010,< 10000,< 10000,< 10000,< 10000,140000,< 10000,< 10000
Curacao,CUW,2020,< 10000,< 10000,< 10000,< 10000,170000,10000,< 10000
Cyprus,CYP,2010,< 10000,< 10000,300000,< 10000,740000,70000,< 10000
Cyprus,CYP,2020,< 10000,< 10000,320000,< 10000,880000,90000,< 10000
Czechia,CZE,2010,10000,< 10000,20000,< 10000,3140000,7170000,110000
Czechia,CZE,2020,< 10000,< 10000,30000,< 10000,2790000,7680000,40000
Democratic Republic of Congo,COD,2010,< 10000,< 10000,830000,< 10000,66160000,970000,600000
Democratic Republic of Congo,COD,2020,< 10000,< 10000,1220000,< 10000,92400000,1130000,1240000
Denmark,DNK,2010,30000,20000,180000,< 10000,4450000,800000,70000
Denmark,DNK,2020,40000,30000,250000,< 10000,4480000,970000,60000
Djibouti,DJI,2010,< 10000,< 10000,910000,< 10000,10000,10000,< 10000
Djibouti,DJI,2020,< 10000,< 10000,1080000,< 10000,10000,10000,< 10000
Dominican Republic,DOM,2010,< 10000,< 10000,< 10000,< 10000,8340000,1470000,< 10000
Dominican Republic,DOM,2020,< 10000,< 10000,< 10000,< 10000,8550000,2160000,300000
East Timor,TLS,2010,< 10000,< 10000,< 10000,< 10000,1080000,< 10000,< 10000
East Timor,TLS,2020,< 10000,< 10000,< 10000,< 10000,1320000,< 10000,< 10000
Ecuador,ECU,2010,< 10000,< 10000,< 10000,< 10000,14410000,640000,20000
Ecuador,ECU,2020,< 10000,< 10000,< 10000,< 10000,15530000,1470000,530000
Egypt,EGY,2010,< 10000,< 10000,84650000,< 10000,4540000,< 10000,< 10000
Egypt,EGY,2020,< 10000,< 10000,104040000,< 10000,5270000,< 10000,< 10000
El Salvador,SLV,2010,< 10000,< 10000,< 10000,< 10000,5360000,710000,< 10000
El Salvador,SLV,2020,< 10000,< 10000,< 10000,< 10000,5430000,740000,60000
Equatorial Guinea,GNQ,2010,< 10000,< 10000,50000,< 10000,1050000,60000,30000
