ISO3,Country,Region,Income Group,Population2000,Population2010,Population2020,Area,GDP2000,GDP2010,GDP2020,Expectancy2000,Expectancy2010,Expectancy2020,Fertility2000,Fertility2010,Fertility2020
AFG,Afghanistan,South Asia,Low income,19542983.0,28189672.0,38972231.0,652860.0,,562.499219444201,512.055098228687,55.298,60.851,62.575,7.534,6.099,4.75
ALB,Albania,Europe & Central Asia,Upper middle income,3089026.0,2913021.0,2837849.0,28750.0,1126.68334010717,4094.34968570481,5343.0377039956,75.404,77.936,76.989,2.231,1.656,1.4
DZA,Algeria,Middle East & North Africa,Lower middle income,30774621.0,35856344.0,43451666.0,2381741.0,1780.37606280604,4495.92147563024,3354.15316371593,70.478,73.808,74.453,2.566,2.843,2.942
ASM,American Samoa,East Asia & Pacific,High income,58229.0,54849.0,46189.0,200.0,,10446.8632062572,15609.7772196843,,,,,,
AND,Andorra,Europe & Central Asia,High income,66097.0,71519.0,77699.0,470.0,21620.4651019373,48237.8905407208,37207.2388711909,,,,,1.27,
AGO,Angola,Sub-Saharan Africa,Lower middle income,16394062.0,23364186.0,33428486.0,1246700.0,556.884243549684,3586.66368031755,1450.90511218489,46.024,56.726,62.261,6.639,6.194,5.371
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,75055.0,85694.0,92664.0,440.0,11010.1974601342,13404.5160161036,15224.8585890561,74.606,76.82,78.841,2.196,1.785,1.569
ARG,Argentina,Latin America & Caribbean,Upper middle income,37070774.0,40788452.0,45376763.0,2780400.0,7666.51783423783,10385.9644319555,8500.83793850534,73.926,75.721,75.892,2.591,2.346,1.911
ARM,Armenia,Europe & Central Asia,Upper middle income,3168524.0,2946294.0,2805609.0,29740.0,603.298025247115,3143.0294799683,4505.86774175695,70.624,73.16,72.173,1.603,1.501,1.575
ABW,Aruba,Latin America & Caribbean,High income,89102.0,100342.0,106584.0,180.0,21026.1670909022,24452.5887394376,24008.1278217477,73.569,75.404,75.723,1.904,1.941,1.325
AUS,Australia,East Asia & Pacific,High income,19028802.0,22031750.0,25649247.0,7741220.0,21870.4159669594,52147.0241942843,51868.2475567823,79.2341463414634,81.6951219512195,83.2,1.756,1.928,1.581
AUT,Austria,Europe & Central Asia,High income,8011566.0,8363404.0,8916864.0,83879.0,24625.6007227434,46903.7615854343,48789.4978498872,78.1268292682927,80.5804878048781,81.1926829268293,1.36,1.44,1.44
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,8048599.0,9054333.0,10093121.0,86600.0,655.097249579917,5843.5337683582,4229.91064904503,64.891,69.529,66.868,2.0,1.92,1.7
BHS,The Bahamas,Latin America & Caribbean,High income,325015.0,373272.0,406471.0,13880.0,24849.6064784902,27046.6576651879,23998.2680191207,72.041,72.731,72.677,2.097,1.835,1.394
BHR,Bahrain,Middle East & North Africa,High income,711442.0,1213645.0,1477469.0,785.0,12738.7741181575,21186.8143292279,23433.1872362574,75.496,78.748,79.174,2.778,2.053,1.832
BGD,Bangladesh,South Asia,Lower middle income,129193327.0,148391139.0,167420950.0,147570.0,413.100185264402,776.859576940281,2233.30590129762,65.779,68.638,71.968,3.218,2.34,2.003
BRB,Barbados,Latin America & Caribbean,High income,264657.0,274711.0,280693.0,430.0,11560.2459031879,16494.2430408684,16882.5015230162,74.089,75.712,77.393,1.775,1.687,1.628
BLR,Belarus,Europe & Central Asia,Upper middle income,9979610.0,9483836.0,9379952.0,207610.0,1276.28038121269,6034.67885177216,6542.8645398436,68.9121951219512,70.4048780487805,72.4572195121951,1.317,1.494,1.474
